universe,sample,family,signal_label,horizon,n_events,n_effective,mean_return,median_return,hit_rate,t_stat,p_value,p_fdr
extended,Full,pmarp_combo,pmarp_up2_accept_highturn_recent3,30,652,198,0.009363457333352705,-0.004832599790782377,0.47474747474747475,0.7291620285653463,0.46676856089099256,0.5186317343233251
extended,Full,pmarp_combo,pmarp_up2_accept_highturn_recent3,60,621,185,0.04356397764659237,0.005243008017758788,0.518918918918919,1.7942019452206435,0.07442271882969151,0.19890529048146588
extended,IS,standalone_bbwp,bbwp_down98_after_downtrend,10,913,224,0.005581859452086473,0.000605150468878074,0.5089285714285714,1.7797323490346606,0.07648157251407527,0.13720934247276928
extended,IS,standalone_bbwp,bbwp_down98_after_downtrend,20,913,224,0.007198109021691007,0.0016527252958078256,0.5223214285714286,1.4301389150418826,0.15407674850437686,0.24652279760700296
extended,IS,standalone_bbwp,bbwp_down98_after_downtrend,30,913,224,0.015332315871111163,0.006547620291553405,0.5491071428571429,2.246413879111579,0.025657273089768753,0.09804342307204446
extended,IS,standalone_bbwp,bbwp_down98_after_downtrend,60,913,224,0.014901188889475392,0.01343653228013632,0.5758928571428571,1.7754936682472715,0.07718025514093271,0.13720934247276928
extended,IS,standalone_bbwp,bbwp_down98_after_uptrend,10,685,239,0.0024987063001491046,0.0058691656175045015,0.5564853556485355,0.7014829218134985,0.48368703686073616,0.6449160491476482
extended,IS,standalone_bbwp,bbwp_down98_after_uptrend,20,685,239,-0.0025569935581276505,0.003761456410088404,0.5188284518828452,-0.6027471128644375,0.5472508229630507,0.6735394744160624
extended,IS,standalone_bbwp,bbwp_down98_after_uptrend,30,685,239,-0.0007806639862930295,0.0028194988708372857,0.5188284518828452,-0.15473735441143802,0.8771595221038705,0.8900285615329725
extended,IS,standalone_bbwp,bbwp_down98_after_uptrend,60,685,239,-0.014747219161137139,-0.009252108734951081,0.45188284518828453,-1.9488991567813416,0.0524824901184385,0.11995997741357371
extended,IS,standalone_bbwp,bbwp_highturn_after_downtrend,10,2346,331,0.007640293663579927,0.003129460893427921,0.552870090634441,3.181514932808477,0.0016042636302676893,0.025668218084283028
